KEY,English,Russian
LandinggearBlocksHeavySV,Landing Gears (T2),Посадочные опоры (К2)
LandinggearBlocksSV,Landing Gears (T1),Посадочные опоры (К1)
LandinggearDouble,Heavy Landing Gear 1,Крупная посадочная опора 1
LandinggearDoubleCV,Heavy Landing Gear 1,Крупная посадочная опора 1
LandinggearDoubleShort,Heavy Landing Gear 2,Крупная посадочная опора 2
LandinggearDoubleShortCV,Heavy Landing Gear 2,Крупная посадочная опора 2
LandinggearHeavySV,Heavy Landing Gear 3,Крупная посадочная опора 3
LandinggearMSHeavy,Heavy Landing Gear 3,Крупная посадочная опора 3
LandinggearMSLight,Landing Gear 1,Посадочная опора 1
LandinggearShort,Docking Pad,Стыковочный узел
LandinggearSingle,Landing Gear 2,Посадочная опора 2
LandinggearSingleCV,Landing Gear 2,Посадочная опора 2
LandinggearSingleShort,Landing Gear 3,Посадочная опора 3
LandinggearSingleShortCV,Landing Gear 3,Посадочная опора 3
LandinggearSV,Landing Gear 1,Посадочная опора 1
LCDFrame1x1,LCD 1x1 (Frame),ЖК 1х1 (с рамкой)
LCDFrame1x2,LCD 1x2 (Frame),ЖК 1х2 (с рамкой)
LCDNoFrame02x05,LCD 0.2x0.5 (No Frame),ЖК 0.2х0.5 (без рамки)
LCDNoFrame02x1,LCD 0.2x1 (No Frame),ЖК 0.2х1 (без рамки)
LCDNoFrame05x05,LCD 0.5x0.5 (No Frame),ЖК 0.5х0.5 (без рамки)
LCDNoFrame05x1,LCD 0.5x1 (No Frame),ЖК 0.5х1 (без рамки)
LCDNoFrame1x1,LCD 1x1 (No Frame),ЖК 1х1 (без рамки)
LCDNoFrame1x2,LCD 1x2 (No Frame),ЖК 1х2 (без рамки)
LCDScreenBlocks,LCD Screens,ЖК экраны
Lever,Lever,Рычаг
LightBarrier,Light Barrier,Световой барьер
LightInterior01,Light 5,Cветильник 5
LightInterior02,Light 6,Cветильник 6
LightLantern,Light (Lantern),Светильник (Фонарь)
LightLargeBlocks,Lights,Светильники
LightMS01,Light 1,Светильник 1
LightMS01Corner,Light 1 (Corner),Светильник 1 (Угловой)
LightMS01Offset,Light 1 (not centered),Светильник 1 (не по центру)
LightMS02,Light 2,Светильник 2
LightMS03,Light 3,Светильник 3
LightMS04,Light 4,Светильник 4
LightPlant01,Plant Grow Light,Лампа для растений
LightSS01,Light,Светильник
LightWork,Portable Work Light 1,Переносной прожектор 1
LightWork02,Portable Work Light 2,Переносной прожектор 2
MedicinelabMS,Medic Station,Медицинская станция
MotionSensor,Motion Sensor,Сенсор движения
OfflineProtector,Offline Protection,Офлайновая защита
OxygenBottleLarge,O2 Bottle,Кислородный баллон
OxygenBottleSmall,Small O2 Bottle,Малый кислородный баллон
OxygenGenerator,Oxygen Generator,Генератор кислорода
OxygenHydrogenGenerator,Hydrogen Generator,Генератор водорода
OxygenStation,O2 Station,Кислородная станция
OxygenStationSS,O2 Station,Кислородная станция
OxygenStationSV,O2 Station,Кислородная станция
OxygenTankEscapePod,O2 Tank,Кислородный бак
OxygenTankMS,Large O2 Tank,Большой кислородный бак
OxygenTankSmallMS,Small O2 Tank,Малый кислородный бак
OxygenTankSV,O2 Tank,Кислородный бак
PassengerSeat2SV,Passenger Seat (open),Пассажирское сиденье (открытое)
PassengerSeatMS,Passenger Seat,Пассажирское сиденье
PassengerSeatSS_Cube,Passenger Seat,Пассажирское сиденье
PassengerSeatSS_Slope,Passenger Seat,Пассажирское сиденье
PassengerSeatSV,Passenger Seat (closed),Пассажирское сиденье (закрытое)
PlayerBike,Motorbike,Мотоцикл
PlayerBikeFolded,Motorbike (energy-save mode),Мотоцикл (режим энергосбережения)
PlayerBikeKit,Motorbike Construction Kit,Комплект для сборки мотоцикла
PlayerSpawner,Player Spawner (Pad),Спаунер игрока (коврик)
PlayerSpawnerBlock,Player Spawner (Block),Спаунер игрока (блок)
PlayerSpawnerPlate,Player Spawner (Plate),Спаунер игрока (плита)
PlayerSpawnerPlateThin,Player Spawner (Thin Plate),Спаунер игрока (тонкая плита)
Portal,Portal,Портал
Ramp1x1x1,Ramp (1x1x1),Пандус (1x1x1)
Ramp1x2x1,Ramp (1x2x1),Пандус (1x2x1)
Ramp1x3x1,Ramp (1x3x1),Пандус (1x3x1)
Ramp1x4x2,Ramp (1x4x2),Пандус (1x4x2)
Ramp3x1x1,Ramp (3x1x1),Пандус (3x1x1)
Ramp3x2x1,Ramp (3x2x1),Пандус (3x2x1)
Ramp3x3x1,Ramp (3x3x1),Пандус (3x3x1)
Ramp3x4x2,Ramp (3x4x2),Пандус (3x4x2)
Ramp3x5x3,Ramp (3x5x3),Пандус (3x5x3)
RampBlocks,Ramps,Пандусы
RCSBlockEscapePod,RCS (damaged),РСУ (повреждено)
RCSBlockGV,RCS,РСУ
RCSBlockMS,RCS,РСУ
RCSBlockMS_T2,RCS (T2),РСУ (К2)
RCSBlockSV,RCS,РСУ
RepairBayBA,Repair Bay,Ремонтный отсек
RepairBayCV,Repair Bay,Ремонтный отсек
RepairStation,Repair Station,Ремонтная Станция
SensorTriggerBlocks,Sensors and Signals,Сенсоры и Cигналки
ShutterDoor1x1,Shutter Door (1x1),Гаражные ворота (1x1)
ShutterDoor1x1SV,Shutter Door (1x1),Гаражные ворота (1x1)
ShutterDoor1x2,Shutter Door (1x2),Гаражные ворота (1x2)
ShutterDoor2x2,Shutter Door (2x2),Гаражные ворота (2x2)
ShutterDoor2x2SV,Shutter Door (2x2),Гаражные ворота (2x2)
ShutterDoor2x3,Shutter Door (2x3),Гаражные ворота (2x3)
ShutterDoor3x3,Shutter Door (3x3),Гаражные ворота (3x3)
ShutterDoor3x3SV,Shutter Door (3x3),Гаражные ворота (3x3)
ShutterDoor3x4SV,Shutter Door (3x4),Гаражные ворота (3x4)
ShutterDoor4x4,Shutter Door (4x4),Гаражные ворота (4x4)
ShutterDoor5x5,Shutter Door (5x5),Гаражные ворота (5x5)
SpotlightBlocks,Spotlights,Прожекторы
SpotlightSlope,Spotlight Slope,Прожектор наклонный
SpotlightSlopeHorizontal,Spotlight Slope - Horizontal,Прожектор наклонный - горизонтальный
SpotlightSSCube,Spotlight Cube,Прожектор куб
Stone,Stone,Камень
ThrusterGVDirectional,Thruster S,Двигатель М
ThrusterGVRoundArmored,Thruster Enclosed M,Двигатель обшитый С
ThrusterGVRoundBlocks,Thruster M,Двигатели С
ThrusterGVRoundNormal,Thruster Regular M,Двигатель стандартный С
ThrusterGVRoundSlant,Thruster Slant M,Двигатель с наклонной защитой С
ThrusterJetRound1x3x1,Thruster Jet S (1x3x1),Прямоточный двигатель М (1х3х1)
ThrusterJetRound2x5x2,Thruster Jet M (2x5x2),Прямоточный двигатель С (2х5х2)
ThrusterJetRound3x10x3,Thruster Jet XL (3x10x3),Прямоточный двигатель ОБ (3х10х3)
ThrusterJetRound3x13x3,Thruster Jet XXL (3x13x3),Прямоточный двигатель ООБ (3х13х3)
ThrusterJetRound3x7x3,Thruster Jet L (3x7x3),Прямоточный двигатель Б (3х7х3)
ThrusterMSDirectional,Thruster S,Двигатель М
ThrusterMSRound2x2Blocks,Thrusters L,Двигатели Б
ThrusterMSRound3x3Blocks,Thrusters XL,Двигатели ОБ
ThrusterMSRoundArmored,Thruster Enclosed M,Двигатель обшитый С
ThrusterMSRoundArmored2x2,Thruster Enclosed L,Двигатель обшитый Б
ThrusterMSRoundArmored3x3,Thruster Enclosed XL,Двигатель обшитый ОБ
ThrusterMSRoundBlocks,Thrusters M,Двигатели С
ThrusterMSRoundNormal,Thruster Regular M,Двигатель стандартный С
ThrusterMSRoundNormal2x2,Thruster Regular L,Двигатель стандартный Б
ThrusterMSRoundNormal3x3,Thruster Regular XL,Двигатель стандартный ОБ
ThrusterMSRoundSlant,Thruster Slant M,Двигатель с наклонной защитой С
ThrusterMSRoundSlant2x2,Thruster Slant L,Двигатель с наклонной защитой Б
ThrusterMSRoundSlant3x3,Thruster Slant XL,Двигатель с наклонной защитой ОБ
ThrusterSVDirectional,Thruster S,Двигатель М
ThrusterSVRoundArmored,Thruster Enclosed M,Двигатель обшитый С
ThrusterSVRoundAtmo,Thruster Long M,Двигатель длинный С
ThrusterSVRoundBlocks,Thrusters M,Двигатели С
ThrusterSVRoundNormal,Thruster Regular M,Двигатель стандартный С
ThrusterSVRoundSlant,Thruster Slant M,Двигатель с наклонной защитой С
TraderNPC,Trader,Торговец
TradingStation,Trading Station,Торговая станция
TrapDoor,Trap Door (single use),Дверь-ловушка (одноразовая)
TrapDoorAnim,Trap Door (multiple use),Дверь-ловушка (многоразовая)
TriggerPlate,Trigger Plate,Триггерная плита
WarpDrive,Warp Drive,Варп двигатель
WaterGenerator,Water Generator,Генератор воды
groupBuildingBlocks,Building Blocks,Строительные блоки
groupComponents,Components,Компоненты
groupDecoBlocks,Decoration Blocks,Декоративные блоки
groupDevices,Devices,Устройства
groupWeaponsItems,Weapons & Items,Оружие & Предметы
bkiAdrenalineShot,Stamina boost during 100 seconds. Use LMB from the toolbar or from the inventory with Shift+RMB.,Восстанавливает выносливость в течение 100 секунд. Используйте при помощи ЛКМ с панели инструментов или из инвентаря при помощи Shift+ПКМ.
bkiAlienBlock,"This block / device is alien. By placing it, you will not be able to spawn your structure in a Survival game.","Это блок или устройство инопланетян. Установив его, вы не сможете использовать чертеж этой структуры в режиме выживания."
bkiAlienMarker2Block,This block marks the landing spot of the troop transporter on a drone base.,Этот блок отмечает точку приземления десантного судна ИИ на базе дронов.
bkiAlienMarker3Block,This block marks the landing spot of the AI vessel on a drone base.,Этот блок отмечает точку приземления патрульного судна ИИ на базе дронов.
bkiAlienMarkerBlock,This block marks the spawning point of drones on a drone base.,Этот блок отмечает точку появления дронов на их базе.
bkiAlienPlantSprout,The delicate sprout of the alien plant will not grow anymore on terrain. You need highly fertile growing plot,Нежный росток инопланетного растения не сможет вырасти в земле. Ему требуется сверхплодородная почва растительного модуля.
bkiAmmo,Ammunition used for reloading a weapon. Please refer to the corresponding weapon for more information.,"Амуниция используется для перезарядки оружия. Чтобы получить больше информации, сверьтесь со спецификацией соответствующего оружия."
bkiAmmoFullLoad,One charge fills up whole magazine,Один заряд полностью заряжает магазин.
bkiAmmoHoming,Ammunition used for reloading a weapon with homing capabilities. Please refer to the corresponding weapon for more information.,"Амуниция используется для перезарядки оружия с возможностью самонаведения. Чтобы получить больше информации, сверьтесь со спецификацией соответствующего оружия."
bkiArtificialmass,Artificial Mass adds additional weight and is used to balance the Center of Mass of the vessel for improved flight and hover behavior.,"Искусственная масса добавляет дополнительный вес и используется для балансировки центра масс на судах, тем самым улучшая их летные характеристики."
bkiBlockGroup,This block represents a group of blocks. Add to toolbar and press RMB to unfold group,"Этот блок подразумевает группу блоков. Поместите на панель инструментов и нажмите ПКМ, чтобы развернуть группу"
bkiCloneChamber,Sets spawn point,Устанавливает точку возрождения.
bkiCockpit,Required on every vessel for piloting,Необходимо на любом судне для пилотирования.
bkiColorTool,Tool used for coloring building blocks. Add to the toolbar and apply color with LMB. Open color selection menu with RMB.,Инструмент используется для окрашивания строительных блоков. Добавьте его на свою панель инструментов и окрашивайте блоки при помощи ЛКМ. Открыть меню выбора цвета можно при помощи ПКМ.
